cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,sched_latency_ns,sched_migration_cost_ns,sched_wakeup_granularity_ns,sched_min_granularity_ns,sched_child_runs_first,sched_autogroup_enabled,sched_rr_timeslice_ms,swappiness,dirty_ratio,dirty_background_ratio,dirty_expire_centisecs,dirty_writeback_centisecs,min_free_kbytes,overcommit_memory,overcommit_ratio,vfs_cache_pressure,somaxconn,tcp_fin_timeout,tcp_tw_reuse,tcp_syncookies,tcp_max_syn_backlog,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max,tcp_wmem_min,tcp_wmem_default,tcp_wmem_max,workload_type,exec_time,cpu_avg,perf_score
9.0,5.84814453125,4.185546875,3.521484375,0.0,2.0,31.0,31.25,472735358976,447906627584,21636235264,5.3,0,0,0.0,64722935861248,215943376814592,126633311,114089072,cubic,2025-07-19 15:34:55,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.4,9.63,0.08
8.0,5.61962890625,4.16552734375,3.5185546875,0.0,2.0,31.0,31.28,472735358976,447913238528,21629624320,5.3,0,0,0.0,64722935861248,215943377310208,126665427,114117400,cubic,2025-07-19 15:35:00,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.33,8.07,0.08
8.2,5.40966796875,4.14599609375,3.515625,0.0,2.0,31.0,31.29,472735358976,447908868096,21633986560,5.3,0,0,0.0,64722935861248,215943377949184,126689667,114140244,cubic,2025-07-19 15:35:04,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.33,8.07,0.08
8.0,5.21630859375,4.126953125,3.5126953125,0.0,2.0,31.0,31.36,472735358976,447908835328,21634019328,5.3,0,0,0.0,64722935861248,215943378539008,126699162,114148833,cubic,2025-07-19 15:35:09,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.33,8.07,0.08
9.6,4.95849609375,4.09130859375,3.50439453125,0.0,2.0,31.0,31.54,472735358976,447908216832,21634646016,5.3,0,0,0.0,64722935861248,215943378964992,126721138,114167701,cubic,2025-07-19 15:35:14,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.78,6.13,0.07
6.4,4.64111328125,4.03955078125,3.49072265625,0.0,2.0,31.0,31.44,472735358976,447904387072,21638475776,5.3,0,0,0.0,64722935861248,215943379829248,126732134,114177621,cubic,2025-07-19 15:35:19,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.78,6.13,0.07
2.4,4.64111328125,4.03955078125,3.49072265625,0.0,2.0,31.0,31.44,472735358976,447908900864,21633957888,5.3,0,0,0.0,64722935861248,215943380390400,126741608,114186197,cubic,2025-07-19 15:35:23,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,12.78,6.13,0.07
3.7,4.42919921875,4.00537109375,3.482421875,0.0,2.0,31.0,31.41,472735358976,447914598400,21628264448,5.3,0,0,0.0,64722935861248,215943380840960,126764903,114207082,cubic,2025-07-19 15:35:28,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.43,7.63,0.08
9.5,4.234375,3.9716796875,3.47412109375,0.0,2.0,31.0,31.29,472735358976,447917236224,21625626624,5.2,0,0,0.0,64722935861248,215943381250560,126775928,114217023,cubic,2025-07-19 15:35:33,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.43,7.63,0.08
9.7,4.13525390625,3.955078125,3.47119140625,0.0,2.0,31.0,31.4,472735358976,447908814848,21634048000,5.3,0,0,0.0,64722935861248,215943381615104,126784818,114225185,cubic,2025-07-19 15:35:37,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.43,7.63,0.08
8.6,3.9638671875,3.92236328125,3.462890625,0.0,2.0,31.0,31.31,472735358976,447908651008,21634211840,5.3,0,0,0.0,64722935861248,215943381975552,126805981,114242856,cubic,2025-07-19 15:35:42,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.1,8.7,0.08
8.5,3.88623046875,3.90673828125,3.4599609375,0.0,2.0,31.0,31.37,472735358976,447861809152,21681053696,5.3,0,0,0.0,64722935926784,215943383421440,126816393,114252362,cubic,2025-07-19 15:35:47,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.1,8.7,0.08
9.0,3.73486328125,3.875,3.45166015625,0.0,2.0,30.0,31.36,472735358976,447916953600,21625905152,5.2,0,0,0.0,64722935926784,215943384027648,126824592,114259501,cubic,2025-07-19 15:35:51,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.1,8.7,0.08
8.0,3.595703125,3.84375,3.44384765625,0.0,2.0,30.0,31.33,472735358976,447913132032,21629730816,5.3,0,0,0.0,64722935926784,215943384658432,126848722,114280207,cubic,2025-07-19 15:35:56,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.31,8.3,0.08
8.4,3.4677734375,3.81298828125,3.43603515625,0.0,2.0,31.0,31.38,472735358976,447910895616,21631967232,5.3,0,0,0.0,64722935926784,215943385051648,126856924,114287349,cubic,2025-07-19 15:36:01,0,24000000,500000,4000000,3000000,0,1,100,60,10,5,3000,500,90112,0,50,200,4096,60,2,1,4096,4096,131072,6291456,4096,16384,4194304,cpu_bound,13.31,8.3,0.08
