cpu_percent,load_avg_1,load_avg_5,load_avg_15,gpu_util,gpu_mem_used,gpu_temp,gpu_power,mem_total,mem_available,mem_used,mem_percent,swap_total,swap_used,swap_percent,read_bytes,write_bytes,bytes_sent,bytes_recv,tcp_congestion_control,timestamp,tcp_congestion_encoded,workload_type,kernel_sched_latency_ns,kernel_sched_migration_cost_ns,vm_swappiness,vm_dirty_ratio,vm_dirty_expire_centisecs,tcp_rmem_min,tcp_rmem_default,tcp_rmem_max
10.0,2.91015625,3.4423828125,4.244140625,0.0,2.0,32.0,28.11,472735358976,419204980736,50352988160,11.3,0,0,0.0,64550549438464,215031757879808,133650874,284418656,cubic,2025-07-17 16:30:58,0,io_bound,10000000,5000000,30,10,500,4096,65536,4194304
10.5,2.91015625,3.4423828125,4.244140625,0.0,2.0,32.0,28.07,472735358976,419211952128,50345803776,11.3,0,0,0.0,64550549438464,215033055066624,133659247,284426261,cubic,2025-07-17 16:31:02,0,io_bound,10000000,5000000,30,10,500,4096,65536,4194304
11.5,7.08154296875,4.29833984375,4.51708984375,0.0,2.0,32.0,28.12,472735358976,419209510912,50346762240,11.3,0,0,0.0,64550549643264,215033934817792,133668741,284434267,cubic,2025-07-17 16:31:05,0,io_bound,20000000,10000000,10,5,300,16384,87380,16777216
9.5,7.08154296875,4.29833984375,4.51708984375,0.0,2.0,32.0,28.09,472735358976,419212021760,50344837120,11.3,0,0,0.0,64550549643264,215033935038976,133703941,284468391,cubic,2025-07-17 16:31:08,0,io_bound,20000000,10000000,10,5,300,16384,87380,16777216
14.2,6.75439453125,4.2763671875,4.5087890625,0.0,2.0,32.0,28.14,472735358976,419209515008,50346991616,11.3,0,0,0.0,64550549647360,215033935276544,133719030,284481210,cubic,2025-07-17 16:31:11,0,io_bound,20000000,10000000,10,5,300,16384,87380,16777216
16.0,7.3349609375,4.43798828125,4.56005859375,0.0,2.0,32.0,28.1,472735358976,419164979200,50391719936,11.3,0,0,0.0,64550549647360,215033997740544,133725266,284486476,cubic,2025-07-17 16:31:14,0,io_bound,20000000,10000000,10,5,300,16384,87380,16777216
3.1,7.3349609375,4.43798828125,4.56005859375,0.0,2.0,32.0,28.13,472735358976,419148816384,50407837696,11.3,0,0,0.0,64550549647360,215035316472320,133738436,284497980,cubic,2025-07-17 16:31:17,0,memory_bound,6000000,500000,60,20,1000,4096,87380,6291456
4.6,6.82763671875,4.380859375,4.54052734375,0.0,2.0,32.0,28.02,472735358976,419114438656,50442293248,11.3,0,0,0.0,64550549647360,215036627208704,133744992,284504032,cubic,2025-07-17 16:31:20,0,memory_bound,6000000,500000,60,20,1000,4096,87380,6291456
3.0,6.52099609375,4.35791015625,4.5322265625,0.0,2.0,32.0,28.13,472735358976,419081736192,50475028480,11.3,0,0,0.0,64550549647360,215037941135872,133753543,284511253,cubic,2025-07-17 16:31:23,0,memory_bound,6000000,500000,60,20,1000,4096,87380,6291456
6.0,6.52099609375,4.35791015625,4.5322265625,0.0,2.0,32.0,28.06,472735358976,419148165120,50408615936,11.3,0,0,0.0,64550549647360,215039249664512,133795164,284550554,cubic,2025-07-17 16:31:26,0,memory_bound,6000000,500000,60,20,1000,4096,87380,6291456
